ID,지명,한자,유형,소재지,좌표(위도),좌표(경도),근거문헌,위키데이터QID,위키백과,상태,등재일,폐기사유,발의자
DHC-2026-0004,삽재,삽재(한자),고개,대전 유성구,36.3,129.2,지명총람 4p,,,폐기,2026-08-25,"공개 절차를 시험하기 위해 등재한 시험 항목이며, 기재된 값이 실제 조사 결과가 아니어서 취소합니다.",
DHC-2026-0005,삽재,揷峙,고개,대전광역시 유성구 갑동과 충청남도 공주시 반포면 온천리 경계,36.3620199,127.2720838,"국토지리정보원 국토정보플랫폼, 삽재(Sapjae) 대전광역시 유성구 갑동 37-1",,https://ko.wikipedia.org/wiki/삽재,확정,2026-08-26,,류철
